"AthleteId","Year","Ranking","Stars","Rating"
"4426331","2019","1","5","0.9994"
"4426326","2019","2","5","0.9987"
"4426434","2019","3","5","0.998"
"4426370","2019","4","5","0.9967"
"4567128","2019","5","5","0.9965"
"107494","2019","6","5","0.9963"
"4567134","2019","7","5","0.9946"
"4426332","2019","8","5","0.9946"
"4426337","2019","9","5","0.9944"
"4426358","2019","10","5","0.9944"
"4426339","2019","11","5","0.9942"
"4426412","2019","12","5","0.9933"
"4426333","2019","13","5","0.9929"
"4426422","2019","14","5","0.9927"
"4426327","2019","15","5","0.9926"
"4426359","2019","16","5","0.992"
"4570075","2019","17","5","0.9915"
"4575416","2019","18","5","0.9911"
"4426340","2019","19","5","0.9908"
"4569618","2019","20","5","0.9903"
"4426535","2019","21","5","0.9903"
"4426349","2019","22","5","0.9901"
"4426344","2019","23","5","0.9891"
"4426354","2019","24","5","0.988"
"4567219","2019","25","5","0.9879"
"4426336","2019","26","5","0.9877"
"4426376","2019","27","5","0.9877"
"4570577","2019","28","5","0.9871"
"4426330","2019","29","5","0.987"
"4426342","2019","30","5","0.9868"
"","2019","31","5","0.9867"
"4426373","2019","32","5","0.9861"
"4567218","2019","33","5","0.9857"
"4569382","2019","34","5","0.9836"
"4426348","2019","35","4","0.9832"
"4426341","2019","36","4","0.9831"
"4426374","2019","37","4","0.9831"
"4426357","2019","38","4","0.9812"
"4426343","2019","39","4","0.98"
"4567133","2019","40","4","0.9789"
"4426467","2019","41","4","0.9783"
"4426377","2019","42","4","0.9782"
"4567098","2019","43","4","0.978"
"","2019","44","4","0.9779"
"4426350","2019","44","4","0.9779"
"4426536","2019","45","4","0.9765"
"4426385","2019","46","4","0.976"
"4567142","2019","47","4","0.9757"
"4567399","2019","48","4","0.9755"
"4572455","2019","49","4","0.9752"
"4568255","2019","50","4","0.9752"
"4426334","2019","51","4","0.9747"
"4426426","2019","52","4","0.9733"
"4426364","2019","53","4","0.9731"
"4426361","2019","54","4","0.973"
"4426403","2019","55","4","0.9727"
"4569511","2019","56","4","0.9725"
"4426363","2019","57","4","0.9724"
"4569388","2019","58","4","0.9722"
"4426659","2019","59","4","0.9705"
"4575517","2019","60","4","0.97"
"4426345","2019","61","4","0.9699"
"4567138","2019","62","4","0.9698"
"4426378","2019","63","4","0.9695"
"4426657","2019","64","4","0.9695"
"4426335","2019","65","4","0.9689"
"4426424","2019","66","4","0.9687"
"4426356","2019","67","4","0.9682"
"4426353","2019","68","4","0.9681"
"4567236","2019","69","4","0.9681"
"4426383","2019","70","4","0.9678"
"4567417","2019","71","4","0.9677"
"4570684","2019","72","4","0.9677"
"4426371","2019","73","4","0.9675"
"4426411","2019","74","4","0.9671"
"4426676","2019","75","4","0.9667"
"4567135","2019","76","4","0.9648"
"4567123","2019","77","4","0.9647"
"4567115","2019","78","4","0.9647"
"4426420","2019","79","4","0.9643"
"4426926","2019","80","4","0.9629"
"4426446","2019","81","4","0.9627"
"4426388","2019","82","4","0.9621"
"4426380","2019","83","4","0.9609"
"4567111","2019","84","4","0.9603"
"4426844","2019","85","4","0.9601"
"4426352","2019","86","4","0.9599"
"","2019","87","4","0.9597"
"4569587","2019","87","4","0.9597"
"","2019","88","4","0.9595"
"4567406","2019","88","4","0.9595"
"4426387","2019","89","4","0.959"
"4567223","2019","90","4","0.9589"
"4567100","2019","91","4","0.9588"
"","2019","91","4","0.9588"
"4426372","2019","92","4","0.9584"
"4426875","2019","93","4","0.9582"
"4426410","2019","94","4","0.9578"
"4426414","2019","95","4","0.9578"
"4426816","2019","96","4","0.9576"
"4426355","2019","97","4","0.9572"
"4426658","2019","98","4","0.9568"
"4426379","2019","99","4","0.9564"
