"AthleteId","Year","Ranking","Stars","Rating"
"4046523","2016","1","5","1"
"4035483","2016","2","5","0.9991"
"4047661","2016","3","5","0.9991"
"4035292","2016","4","5","0.9979"
"4035003","2016","5","5","0.9973"
"4039303","2016","6","5","0.9968"
"4035601","2016","7","5","0.9966"
"4040605","2016","8","5","0.9965"
"4035495","2016","9","5","0.9963"
"4040964","2016","10","5","0.9951"
"4035829","2016","11","5","0.9919"
"4035004","2016","12","5","0.991"
"4035851","2016","13","5","0.9905"
"4035004","2016","13","5","0.9902"
"4035014","2016","14","5","0.9904"
"","2016","15","5","0.9884"
"4035708","2016","16","5","0.9875"
"4040983","2016","16","5","0.9884"
"4040726","2016","17","5","0.9873"
"4035369","2016","18","5","0.9876"
"4035686","2016","19","5","0.9872"
"4035566","2016","20","5","0.9869"
"4045163","2016","21","5","0.9865"
"4035433","2016","22","5","0.9861"
"4035452","2016","23","5","0.9846"
"4037641","2016","24","5","0.9847"
"4035299","2016","25","5","0.9843"
"4046691","2016","26","5","0.9835"
"4034965","2016","27","4","0.9823"
"4045174","2016","28","4","0.9808"
"4035470","2016","29","4","0.9807"
"4035692","2016","30","4","0.9816"
"4035624","2016","31","4","0.9803"
"4035494","2016","32","4","0.9813"
"4040608","2016","33","4","0.9811"
"4034964","2016","34","4","0.981"
"4040967","2016","35","4","0.9799"
"4047646","2016","36","4","0.9803"
"4039050","2016","37","4","0.9803"
"4044452","2016","38","4","0.9801"
"4046551","2016","39","4","0.979"
"4039059","2016","40","4","0.9786"
"4045166","2016","41","4","0.9781"
"4034953","2016","42","4","0.9774"
"4035620","2016","43","4","0.9774"
"4040625","2016","44","4","0.9767"
"4035493","2016","45","4","0.9767"
"4034953","2016","45","4","0.976"
"4035631","2016","46","4","0.9761"
"4044431","2016","47","4","0.9749"
"4035425","2016","48","4","0.9744"
"4035603","2016","49","4","0.9747"
"-1034692","2016","50","4","0.9735"
"-1003623","2016","51","4","0.9739"
"4047647","2016","52","4","0.9732"
"4047839","2016","53","4","0.9732"
"4034948","2016","54","4","0.9721"
"4035438","2016","55","4","0.9715"
"4035245","2016","56","4","0.9714"
"4035173","2016","57","4","0.9716"
"4035474","2016","58","4","0.9713"
"4035687","2016","59","4","0.9688"
"4044448","2016","60","4","0.9685"
"4036262","2016","61","4","0.9674"
"4039060","2016","62","4","0.9682"
"4035458","2016","63","4","0.9679"
"-1000853","2016","64","4","0.9663"
"4035443","2016","64","4","0.9675"
"4046536","2016","65","4","0.9658"
"","2016","66","4","0.9653"
"4040970","2016","66","4","0.9675"
"4040968","2016","67","4","0.9671"
"4035454","2016","68","4","0.9665"
"","2016","69","4","0.9663"
"4035016","2016","70","4","0.9651"
"4040963","2016","71","4","0.9644"
"4040623","2016","72","4","0.9649"
"4039054","2016","73","4","0.9649"
"4036232","2016","74","4","0.9642"
"4035499","2016","75","4","0.9641"
"4046522","2016","76","4","0.9633"
"4035079","2016","77","4","0.9631"
"4035167","2016","78","4","0.9628"
"4046694","2016","79","4","0.9614"
"4035459","2016","80","4","0.9613"
"4034849","2016","81","4","0.9582"
"4040965","2016","82","4","0.9587"
"","2016","83","4","0.9584"
"-1016077","2016","84","4","0.9575"
"4035604","2016","85","4","0.9571"
"4046545","2016","86","4","0.9571"
"-1022379","2016","87","4","0.9566"
"4034766","2016","88","4","0.9566"
"4035002","2016","89","4","0.9565"
"4040616","2016","90","4","0.9561"
"4035602","2016","91","4","0.9561"
"4035171","2016","92","4","0.9558"
"4046718","2016","93","4","0.9556"
"4038999","2016","94","4","0.9549"
"","2016","95","4","0.9548"
"4040628","2016","96","4","0.9546"
"4040621","2016","97","4","0.9544"
"4035696","2016","98","4","0.9538"
"4035467","2016","99","4","0.951"
"4035600","2016","100","4","0.9535"
"4035818","2016","101","4","0.9533"
"4046724","2016","102","4","0.9495"
"","2016","103","4","0.9521"
"4035251","2016","104","4","0.9519"
"4035170","2016","105","4","0.9515"
"4036260","2016","106","4","0.9505"
"4036509","2016","107","4","0.9504"
"4035836","2016","108","4","0.9486"
"4047650","2016","109","4","0.9485"
"4037468","2016","110","4","0.9465"
"","2016","111","4","0.948"
"4035628","2016","112","4","0.9457"
"4046686","2016","113","4","0.9464"
"4040966","2016","114","4","0.9441"
"4035011","2016","115","4","0.9458"
"-1034739","2016","116","4","0.9457"
"4046519","2016","117","4","0.9455"
"4039052","2016","118","4","0.9453"
"4034858","2016","119","4","0.9452"
"4040617","2016","120","4","0.9439"
"4035000","2016","121","4","0.9439"
"4038539","2016","122","4","0.9431"
"4035500","2016","123","4","0.9431"
"4035833","2016","124","4","0.9431"
"4035426","2016","125","4","0.9427"
"4034950","2016","126","4","0.9423"
"4035221","2016","127","4","0.9422"
"4035435","2016","128","4","0.9419"
"4040622","2016","129","4","0.9411"
"4038558","2016","130","4","0.9383"
"4046538","2016","131","4","0.9409"
"4039028","2016","132","4","0.9409"
"4040613","2016","133","4","0.9403"
"4035434","2016","134","4","0.9393"
"4035831","2016","135","4","0.939"
"4035791","2016","136","4","0.9389"
"4035020","2016","137","4","0.9386"
"4039230","2016","138","4","0.9375"
"4035446","2016","139","4","0.9374"
"4035054","2016","140","4","0.9371"
"","2016","141","4","0.9368"
"4035702","2016","142","4","0.936"
"4039012","2016","143","4","0.932"
"4035817","2016","143","4","0.935"
"4040975","2016","144","4","0.9344"
"4036030","2016","145","4","0.9343"
"4037469","2016","146","4","0.9342"
"4035228","2016","147","4","0.9341"
"4035627","2016","148","4","0.9341"
"4035479","2016","149","4","0.9332"
"4036060","2016","150","4","0.9305"
"4037648","2016","151","4","0.9322"
"","2016","152","4","0.9321"
"4040982","2016","153","4","0.9321"
"4035455","2016","154","4","0.9318"
"4035827","2016","155","4","0.9316"
"4035689","2016","156","4","0.9314"
"4035465","2016","157","4","0.9314"
"4038541","2016","158","4","0.9311"
"-1030308","2016","159","4","0.9301"
"4035006","2016","160","4","0.9297"
"4035605","2016","161","4","0.9295"
"-1027090","2016","162","4","0.9294"
"","2016","163","4","0.9294"
"4047651","2016","164","4","0.9289"
"4035625","2016","165","4","0.927"
"4037633","2016","166","4","0.9287"
"4040629","2016","167","4","0.9286"
"4360739","2016","168","4","0.9285"
"4261907","2016","169","4","0.9285"
"4046692","2016","170","4","0.9258"
"4038938","2016","171","4","0.928"
"4044140","2016","172","4","0.9278"
"4038833","2016","173","4","0.9273"
"4037449","2016","174","4","0.9264"
"4040962","2016","175","4","0.9258"
"4047648","2016","176","4","0.9256"
"4046719","2016","177","4","0.9252"
"4045168","2016","178","4","0.9251"
"4035819","2016","179","4","0.925"
"4039034","2016","180","4","0.925"
"4384208","2016","181","4","0.9248"
"4035795","2016","182","4","0.9244"
"4035427","2016","183","4","0.9242"
"4039048","2016","184","4","0.9242"
"4040718","2016","185","4","0.9241"
"4035168","2016","186","4","0.9241"
"4039627","2016","187","4","0.924"
"4037642","2016","188","4","0.9239"
"4040612","2016","189","4","0.9233"
"4040715","2016","190","4","0.9231"
"-1032985","2016","191","4","0.9231"
"4035626","2016","192","4","0.9231"
"4035254","2016","193","4","0.9228"
