,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2023,4576297,A.J. Barner,TE,Michigan,Big10,0.0251,0.0612,0.0,0.0144,0.033,0.04,0.015,0.052,,,,,,,,,,22.0,,,,,,,22.0,,,,1.0,,,,,249.0,,,,11.3,East,14.1,15,15,0,0,10,10,0,0,7,7,0,0,5,5,0,0,297,17,22,3,9,15,4,419,5,0,251,18,3205,361,260,18,24,45,412,29002,0,316,31,563,40,2536,38,84,74,173,5741,8,,No
1,2023,4685495,Alex Orji,QB,Michigan,Big10,0.0164,0.0027,0.0261,0.024,0.016,0.0,0.015,0.004,,,15.0,,,,,,,20.0,,,,,,,,,,,1.0,,,,,86.0,,5.7,,,East,14.1,15,15,0,0,10,10,0,0,7,7,0,0,5,5,0,0,297,17,22,3,9,15,4,419,5,0,251,18,3205,361,260,18,24,45,412,29002,0,316,31,563,40,2536,38,84,74,173,5741,8,,No
2,2023,5008017,Benjamin Hall,RB,Michigan,Big10,0.0174,0.0027,0.0279,0.0216,0.016,0.012,0.019,0.008,,,15.0,,,,,,,19.0,,,,,,,1.0,,,,0.0,,,,,69.0,,4.6,,0.0,East,14.1,15,15,0,0,10,10,0,0,7,7,0,0,5,5,0,0,297,17,22,3,9,15,4,419,5,0,251,18,3205,361,260,18,24,45,412,29002,0,316,31,563,40,2536,38,84,74,173,5741,8,,No
3,2023,4429096,Blake Corum,RB,Michigan,Big10,0.2955,0.0452,0.473,0.3438,0.3,0.162,0.365,0.167,,,258.0,,,,3.0,,,86.0,0.0,,,0.0,,0.0,16.0,0.0,1.0,,28.0,0.0,1.0,,,1362.0,,4.8,,7.3,East,14.1,15,15,0,0,10,10,0,0,7,7,0,0,5,5,0,0,297,17,22,3,9,15,4,419,5,0,251,18,3205,361,260,18,24,45,412,29002,0,316,31,563,40,2536,38,84,74,173,5741,8,,No
4,2023,4685535,C.J. Stokes,RB,Michigan,Big10,0.0044,0.0,0.0074,0.0024,0.007,0.006,0.0,0.012,,,4.0,,,,,,,7.0,,,,,,,,,,,0.0,,,,,8.0,,2.0,,,East,14.1,15,15,0,0,10,10,0,0,7,7,0,0,5,5,0,0,297,17,22,3,9,15,4,419,5,0,251,18,3205,361,260,18,24,45,412,29002,0,316,31,563,40,2536,38,84,74,173,5741,8,,No
5,2023,4917858,Cole Cabana,RB,Michigan,Big10,0.0022,0.0,0.0037,0.0024,0.003,0.0,0.004,0.0,,,2.0,,,,,,,5.0,,,,,,,,,,,0.0,,,,,6.0,,3.0,,,East,14.1,15,15,0,0,10,10,0,0,7,7,0,0,5,5,0,0,297,17,22,3,9,15,4,419,5,0,251,18,3205,361,260,18,24,45,412,29002,0,316,31,563,40,2536,38,84,74,173,5741,8,,No
6,2023,4723086,Colston Loveland,TE,Michigan,Big10,0.06,0.1463,0.0,0.0457,0.065,0.075,0.046,0.095,,,,,,,,,,54.0,,,,0.0,,0.0,45.0,0.0,1.0,,4.0,0.0,1.0,,,649.0,,,,14.4,East,14.1,15,15,0,0,10,10,0,0,7,7,0,0,5,5,0,0,297,17,22,3,9,15,4,419,5,0,251,18,3205,361,260,18,24,45,412,29002,0,316,31,563,40,2536,38,84,74,173,5741,8,,No
7,2023,4426479,Cornelius Johnson,WR,Michigan,Big10,0.0643,0.1489,0.0056,0.0745,0.062,0.046,0.065,0.044,,,3.0,,,,,,,76.0,,,,,,,47.0,,,,1.0,,,,,644.0,,13.3,,12.9,East,14.1,15,15,0,0,10,10,0,0,7,7,0,0,5,5,0,0,297,17,22,3,9,15,4,419,5,0,251,18,3205,361,260,18,24,45,412,29002,0,316,31,563,40,2536,38,84,74,173,5741,8,,No
8,2023,4572041,Danny Hughes,RB,Michigan,Big10,0.0022,0.0,0.0037,0.0048,0.0,0.0,0.0,0.0,,,2.0,,,,,,,6.0,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,8.0,,4.0,,,East,14.1,15,15,0,0,10,10,0,0,7,7,0,0,5,5,0,0,297,17,22,3,9,15,4,419,5,0,251,18,3205,361,260,18,24,45,412,29002,0,316,31,563,40,2536,38,84,74,173,5741,8,,No
9,2023,4685297,Darrius Clemons,WR,Michigan,Big10,0.0044,0.0106,0.0,0.0,0.013,0.0,0.008,0.008,,,,,,,,,,19.0,,,,,,,3.0,,,,0.0,,,,,33.0,,,,11.0,East,14.1,15,15,0,0,10,10,0,0,7,7,0,0,5,5,0,0,297,17,22,3,9,15,4,419,5,0,251,18,3205,361,260,18,24,45,412,29002,0,316,31,563,40,2536,38,84,74,173,5741,8,3.0,Yes
