"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2023","2","Auburn","SEC","West","6.4","13","6","7","0","8","3","5","0","7","3","4","0","5","3","2","0"
"2023","8","Arkansas","SEC","West","5.5","12","4","8","0","8","1","7","0","6","2","4","0","4","1","3","0"
"2023","57","Florida","SEC","East","5.9","12","5","7","0","8","3","5","0","6","4","2","0","5","1","4","0"
"2023","61","Georgia","SEC","East","12.6","14","13","1","0","9","8","1","0","7","7","0","0","4","4","0","0"
"2023","96","Kentucky","SEC","East","6.9","13","7","6","0","8","3","5","0","7","4","3","0","5","3","2","0"
"2023","99","LSU","SEC","West","8.9","13","10","3","0","8","6","2","0","7","7","0","0","4","2","2","0"
"2023","142","Missouri","SEC","East","10.4","13","11","2","0","8","6","2","0","7","6","1","0","4","3","1","0"
"2023","145","Ole Miss","SEC","West","8.4","13","11","2","0","8","6","2","0","7","7","0","0","5","3","2","0"
"2023","238","Vanderbilt","SEC","East","1.3","12","2","10","0","8","0","8","0","6","2","4","0","6","0","6","0"
"2023","245","Texas A&M","SEC","West","8.4","13","7","6","0","8","4","4","0","7","6","1","0","4","0","4","0"
"2023","333","Alabama","SEC","West","11.3","14","12","2","0","9","9","0","0","7","6","1","0","5","5","0","0"
"2023","344","Mississippi State","SEC","West","4.8","12","5","7","0","8","1","7","0","8","4","4","0","4","1","3","0"
"2023","2579","South Carolina","SEC","East","5.6","12","5","7","0","8","3","5","0","7","5","2","0","4","0","4","0"
"2023","2633","Tennessee","SEC","East","8.8","13","9","4","0","8","4","4","0","7","6","1","0","4","1","3","0"
